MAKE,MODEL,SERIAL,COST,CC,COSMETICGRADEC,COSMETICFLAWS,CGRADEDAMAGE,PROCESSOR,STORAGE,MEMORY,GRAPHICS,SCREENSIZEC,PROCGEN,RESOLUTIONC,BATTERYPRESENT,BATHEALTH,MEMSLOTS,PWPROTECTED,SCREENFLAWS,MONITORSHAPE,MONITORINPUTS,SCREENSIZEM,COSMETICGRADEM,RESOLUTIONM,POID,SOID,CCDATE,RECEIVEDATE,INVOICEDATE,LASTUPDATE,UPDATEBY,WAREHOUSE,LOCATION,WSGRADE,WSFAILS,MONITORFAILS,FUNCTIONALFAILS
HP,V223,3cq6370kn0,$21.279,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA;HDMI / DISPLAY,22in.,,,4192-157,0-0,10/21/2021,11/3/2021,12/31/1899,11/3/2021,CR,NEW,,,,,
HP,V223,3cq6370lh2,$21.279,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI,22in.,,,4192-166,0-0,10/21/2021,11/4/2021,12/31/1899,11/4/2021,CR,NEW,,,,,
HP,V223,3cq6370kkz,$21.279,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI,22in.,,,4192-168,0-0,10/21/2021,11/4/2021,12/31/1899,11/4/2021,CR,NEW,,,,,
HP,V223,3cq6370kcv,$21.279,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI,22in.,,,4192-174,0-0,10/21/2021,11/4/2021,12/31/1899,11/4/2021,CR,NEW,,,,,
HP,V223,3cq6351gq4,$21.279,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI,22in.,,,4192-182,0-0,10/21/2021,11/4/2021,12/31/1899,11/4/2021,CR,NEW,,,,,
HP,V223,3cq6370qwg,$21.279,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI,22in.,,,4192-208,0-0,10/21/2021,11/4/2021,12/31/1899,11/4/2021,CR,NEW,,,,,
GENERIC,GENERIC LCD,PEWPD8JA00382,$25,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI / HDMI,24in.,,,4192-216,0-0,10/21/2021,11/3/2021,12/31/1899,11/3/2021,CR,NEW,,,,,
GENERIC,GENERIC LCD,pewpd8ja00958,$25,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI / HDMI,24in.,,,4192-227,0-0,10/21/2021,11/4/2021,12/31/1899,11/4/2021,CR,NEW,,,,,
GENERIC,BLK-SSD-M.2-250,,$27.25,0,,,,,,,Unknown,,,,YES,,,,,,,in.,,,4242-1,0-0,11/3/2021,11/12/2021,12/31/1899,11/12/2021,LT,NEW,CAGE-1,,,,
LENOVO,THINKCENTRE M73P,1S10B7S06M00MJ011ZVR,$0,4B,B,,,Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,500 GB HDD,8 GB,,"0.0""",GEN G,1024 x 768,NO,N/A,2,,,,,in.,,,3310-50,0-0,5/11/2021,5/11/2021,12/31/1899,9/16/2021,CR,ITAD,W2-2-1-A,B,,,
LENOVO,THINKPAD T450 I7 T,1S20BV005SUSPC0C89QJ,$196,4B-,B-,,,Intel(R) Core(TM) i7-5600U CPU @ 2.60GHz,512 GB SSD,16 GB,,"14.0""",GEN 5,1440 x 900,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,3581-13,0-0,7/14/2021,7/14/2021,12/31/1899,9/20/2021,CR,TP,BOX-26,B,,,
LENOVO,THINKCENTRE M900 SFF I5,1S10FGS03000MJ0509YL,$126.9392,4B,B,,,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,500 GB HDD,8 GB,,"0.0""",GEN 6,1024 x 768,NO,N/A,4,,,,,in.,,,3610-18,0-0,7/15/2021,7/15/2021,12/31/1899,9/16/2021,CR,EV1,W2-1-1-A,B,,,
LENOVO,THINKCENTRE M900 SFF I5,1S10FGS03000MJ0509YN,$126.9392,4B,B,,,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,500 GB HDD,8 GB,,"0.0""",GEN 6,1024 x 768,NO,N/A,4,,,,,in.,,,3610-20,0-0,7/15/2021,7/15/2021,12/31/1899,9/16/2021,CR,EV1,W2-1-1-A,B,,,
DELL,LATITUDE 5414 RUGGED I7 T,6ZGRSG2,$163,5C,C,,,Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz,,16 GB,,"14.0""",GEN 6,1920 x 1080,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,3617-34,0-0,7/21/2021,7/21/2021,12/31/1899,9/15/2021,IL,EV1,BOX-28,C,,,
DELL,U2715HC,gbyhhp2,$35,0,,,,,,,Unknown,,,,YES,,,,,Wide,HDMI / DISPLAY,27in.,,,4117-6,0-0,10/11/2021,10/28/2021,12/31/1899,10/28/2021,CR,NEW,,,,,
DELL,E2316HF,cn0p7dp37287257se79la00,$15,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA;DISPLAY,23in.,,,4119-3,0-0,10/11/2021,11/11/2021,12/31/1899,11/11/2021,CR,NEW,,,,,
DELL,LATITUDE 5480 I5 GEN 7,2DNR9H2,$175,4B-,B-,,,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz,128 GB SSD,16 GB, HD Graphics 620,"14.0""",GEN 7,1920 x 1080,YES,2 (Good Health 60-79%),2,,,,,in.,,,4045-44,0-0,10/14/2021,10/14/2021,12/31/1899,12/17/2021,PT,EV1,R2-1-8-A,B,,,
DELL,LATITUDE 5480 I5,399PMH2,$158.9693,4B-,B-,,,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,500 GB HDD,8 GB, HD Graphics 520,"14.0""",GEN 6,1366 x 768,YES,2 (Good Health 60-79%),2,,,,,in.,,,4128-2,0-0,10/21/2021,10/21/2021,12/31/1899,10/22/2021,JF,EV1,BOX-28,B,,,
DELL,DELL LCD STAND,,$10,0,,,,,,,Unknown,,,,YES,,,,,,,in.,,,4139-1,0-0,10/14/2021,10/18/2021,12/31/1899,10/18/2021,LT,NEW,,,,,
DELL,OPTIPLEX 3040 MSFF I5,1m6gzc2,$95,4B,B,,,Intel(R) Core(TM) i5-6500T CPU @ 2.50GHz,500 GB HDD,8 GB, HD Graphics 530,"0.0""",GEN 6,1024 x 768,NO,N/A,2,,,,,in.,,,4045-8,0-0,10/13/2021,10/13/2021,12/31/1899,10/18/2021,KW,EV1,R1-1-1-C,B,,,
DELL,OPTIPLEX 7050 MSFF I5,3f1rhk2,$109.25,4B,B,,,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,,8 GB, HD Graphics 530,"0.0""",GEN 6,1024 x 768,NO,N/A,2,,,,,in.,,,4045-11,0-0,10/13/2021,10/13/2021,12/31/1899,10/18/2021,KW,COMPLETE,R1-1-2-A,B,,,
DELL,OPTIPLEX 5060 SFF I5,7J0K1S2,$220,4B,B,,,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz,,8 GB, UHD Graphics 630+Oland [Radeon HD 8570 / R5 430 OEM / R7 240/340 / Radeon 520 OEM],"0.0""",GEN 8,1024 x 768,NO,N/A,4,,,,,in.,,,3945-29,0-0,10/6/2021,10/6/2021,12/31/1899,11/18/2021,CR,EV1,W2-3-1-B,B,,,
APPLE,MACBOOK PRO A1708 I5,FVFY747XHV2D,$100,4B,B,,,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,251 GB SSD,8 GB, Iris(R,"13""",GEN 7,1920 x 1080,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,4051-33,0-0,9/30/2021,9/30/2021,12/31/1899,12/17/2021,PT,SS,R1-1-3-B,B,,,
GENERIC,GENERIC LAPTOPS,058763664753,$0,0B,,,,,,,Unknown,,,,YES,,,,,,,in.,,,4051-47,0-0,10/1/2021,10/1/2021,12/31/1899,10/1/2021,LT,SS,,B,,,
DELL,P190S,cn0rnmh6744450b8acyl,$5,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;DVI,19in.,,,4007-147,0-0,10/1/2021,10/1/2021,12/31/1899,10/1/2021,CR,NEW,,,,,
APPLE,MACBOOK PRO,w802704watp,$0,8B,,,,,,,Unknown,,,,YES,,,,,,,in.,,,4051-48,0-0,11/19/2021,10/1/2021,12/31/1899,11/19/2021,JF,SS,,D,,,
DELL,P1908,cn0d307j74445978bbnl,$5,0,,,,,,,Unknown,,,,YES,,,,,Wide,DVI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;VGA,19in.,,,4007-220,0-0,10/1/2021,10/1/2021,12/31/1899,10/1/2021,CR,NEW,,,,,
DELL,P1913SF,cn0nwxt67287225icrkm,$5,0,,,,,,,Unknown,,,,YES,,,,,Wide,DVI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;VGA,19in.,,,4007-242,0-0,10/1/2021,10/1/2021,12/31/1899,10/1/2021,CR,NEW,,,,,
DELL,1908FP,cn0uw0426418073j02dl,$5,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;DVI,19in.,,,4007-244,0-0,10/1/2021,10/1/2021,12/31/1899,10/1/2021,CR,NEW,,,,,
DELL,1908FP,cn0dy8404663374m1phs,$5,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;DVI,19in.,,,4007-251,0-0,10/1/2021,10/1/2021,12/31/1899,10/1/2021,CR,NEW,,,,,
DELL,E198FP,cn0cn0787287278g47dh,$5,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;DVI,19in.,,,4007-259,0-0,10/1/2021,10/1/2021,12/31/1899,10/1/2021,CR,NEW,,,,,
DELL,1905FP,mx0w86904832359e3xha,$5,0,,,,,,,Unknown,,,,YES,,,,,Wide,DVI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;VGA,19in.,,,4007-260,0-0,10/1/2021,10/1/2021,12/31/1899,10/1/2021,CR,NEW,,,,,
DELL,P2210,CN06H6FX744451B8BSWS,$0,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI / DISPLAY,22in.,,,4180-324,0-0,11/10/2021,11/10/2021,12/31/1899,11/10/2021,CR,NEW,,,,,
DELL,2208WFPT,CN0R289D7161883QAREU,$0,0,,,,,,,Unknown,,,,YES,,,,,,,in.,,,4180-346,0-0,11/10/2021,11/10/2021,12/31/1899,11/10/2021,CR,NEW,,,,,
DELL,U2212HMC,CN0PF48H6418019507AL,$0,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI / DISPLAY,22in.,,,4180-355,0-0,11/10/2021,11/10/2021,12/31/1899,11/10/2021,CR,NEW,,,,,
DELL,U2212HMC,CN0PF48H641802CQ0AXL,$0,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI / DISPLAY,22in.,,,4180-378,0-0,11/10/2021,11/10/2021,12/31/1899,11/10/2021,CR,NEW,,,,,
HP,E243M,cnk9442mf9,$35,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA;HDMI / DISPLAY,24in.,,,4119-69,0-0,10/11/2021,11/11/2021,12/31/1899,11/11/2021,CR,NEW,,,,,
HP,E243M,CNK9442MFP,$35,0,,,,,,,Unknown,,,,YES,,,,,Wide,HDMI / DISPLAY;VGA,24in.,,,4119-72,0-0,10/11/2021,11/15/2021,12/31/1899,11/15/2021,CR,NEW,,,,,
DELL,P2414HB,CN0524N3742614AI7M8B,$25,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI / DISPLAY,24in.,,,4119-111,0-0,10/11/2021,11/15/2021,12/31/1899,11/15/2021,CR,NEW,,,,,
LENOVO,THINKPAD X240 I5,1s20al009auspb03a7r1,$98.56,7C,C,,,Intel(R) Core(TM) i5-4300U CPU @ 1.90GHz,,4 GB,,"12.6""",GEN 4,1366 x 768,YES,1 (Excellent Health 80-100%),1,,,,,in.,,,2998-269,0-0,4/1/2021,3/8/2021,12/31/1899,9/14/2021,KM,eBay,eBay 7,C,,,
APPLE,MACBOOK PRO A1398 I7,C02ST066GQ62,$100,4B,B,,,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,500 GB SSD,,,"15.4""",GEN 4,1920 x 1080,YES,2 (Good Health 60-79%),2,,,,,in.,,,3469-7,0-0,6/9/2021,6/14/2021,12/31/1899,12/9/2021,CR,ITAD,R2-1-6-D,B,,,
APPLE,MACBOOK PRO A1398 I7,C02VW198G8WL,$100,4B,B,,,Intel(R) Core(TM) i7-4770HQ CPU @ 2.20GHz,500 GB SSD,16 GB,,"15.4""",GEN 4,1920 x 1080,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,3469-14,0-0,6/9/2021,6/14/2021,12/31/1899,12/9/2021,CR,ITAD,R2-1-6-C,B,,,
MICROSOFT,SURFACE BOOK 2N1,004136762957,$70,4B,B,,,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,256 GB SSD,8 GB,,"13.5""",GEN 6,1920 x 1080,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,3469-38,0-0,6/9/2021,6/9/2021,12/31/1899,12/9/2021,CR,ITAD,R2-1-3-B,B,,,
DELL,P190S,CN0RNMH67444505NFEWL,$15,4B,,,,,,,Unknown,,,,YES,,,,MINOR SCRATCHES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;MINOR SCUFFS,Square,VGA / DVI,19in.,B,,3435-5,0-0,6/15/2021,6/11/2021,12/31/1899,6/15/2021,RP,NEW,,B,,,
DELL,P1908,CN0FP182716187C1RJZD,$15,4B-,,,,,,,Unknown,,,,YES,,,,SCREEN SCRATCH(ES)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;MINOR SCUFFS,Square,VGA / DVI,19in.,B,,3435-90,0-0,6/15/2021,6/11/2021,12/31/1899,6/15/2021,RP,NEW,,B,,,
DELL,P1908,CN0D307J7444593DD52L,$15,4C,,,,,,,Unknown,,,,YES,,,,SCREEN SCRATCH(ES)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;MAJOR SCRATCH(ES)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;MINOR SCUFFS,Square,VGA / DVI,19in.,C,,3435-105,0-0,6/15/2021,6/11/2021,12/31/1899,9/21/2021,CR,TP,W3-2-2-B,C,,,
HP,PROBOOK 640 G1 I5,MXL41524QR,$105.0769,7B-,B-,,,Intel(R) Core(TM) i5-4300M CPU @ 2.60GHz,320 GB HDD,4 GB,,"14.0""",GEN 4,1366 x 768,YES,5 (Bad Health 0-20%),2,,,,,in.,,,3443-61,0-0,8/2/2021,6/11/2021,12/31/1899,9/13/2021,NL,REPAIR,TEST REPAIR CART,B,,,Bad Speaker(s)
HP,PROBOOK 640 G1 I5,MXL4120NV9,$105.0769,4C,C,,Minor Dents,Intel(R) Core(TM) i5-4300M CPU @ 2.60GHz,320 GB HDD,4 GB,,"14.0""",GEN 4,1366 x 768,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,3443-80,0-0,6/11/2021,6/11/2021,12/31/1899,9/20/2021,CR,EV1,BOX-7A,C,,,Bad Battery
HP,PROBOOK 640 G1 I5,MXL528112D,$105.0769,4B-,B-,,,Intel(R) Core(TM) i5-4300M CPU @ 2.60GHz,320 GB HDD,4 GB,,"14.0""",GEN 4,1366 x 768,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,3443-86,0-0,6/14/2021,6/14/2021,12/31/1899,12/8/2021,IL,EV1,REPAIR,B,,,
HP,PROBOOK 640 G1 I5,MXL5291BZ1,$105.0769,7C,C,,,Intel(R) Core(TM) i5-4300M CPU @ 2.60GHz,320 GB HDD,4 GB,,"14.0""",GEN 4,1366 x 768,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,3443-127,0-0,6/21/2021,6/14/2021,12/31/1899,9/20/2021,CR,EV1,BOX-7A,C,,,Bad Battery
DELL,LATITUDE 5480 I5,2lb0fh2,$168.6666,4B,B,,Cracked Removable Bottom Pannel,Intel(R) Core(TM) i5-6440HQ CPU @ 2.60GHz,256 GB SSD,16 GB, HD Graphics 530,"14.0""",GEN 6,1920 x 1080,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,3873-152,0-0,10/18/2021,9/16/2021,12/31/1899,12/9/2021,CR,EV1,R2-1-5-A,B,,,
LENOVO,THINKPAD X1 YOGA (G2) I7 T,R90QH7QW,$326,4B-,B-,,,Intel(R) Core(TM) i7-7600U CPU @ 2.80GHz,256 GB SSD,8 GB, HD Graphics 620,"14.0""",GEN 7,1920 x 1080,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,3946-5,0-0,9/14/2021,9/20/2021,12/31/1899,9/21/2021,JF,TP,BOX-28,B,,,
HP,V223,3cq6370qtz,$21.279,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI,22in.,,,4192-113,0-0,10/21/2021,11/3/2021,12/31/1899,11/3/2021,CR,NEW,,,,,
GENERIC,GENERIC LCD,Z7UYHCLD900796J,$0,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA;HDMI / DISPLAY,24in.,,,4180-343,0-0,11/10/2021,11/10/2021,12/31/1899,11/10/2021,CR,NEW,,,,,
DELL,P2312H,CN0XTK9N74445238319M,$0,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI,23in.,,,4180-348,0-0,11/10/2021,11/10/2021,12/31/1899,11/10/2021,CR,NEW,,,,,
DELL,U2212HMC,CN0PF48H6418026P0EVL,$0,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI / DISPLAY,22in.,,,4180-350,0-0,11/10/2021,11/10/2021,12/31/1899,11/10/2021,CR,NEW,,,,,
DELL,U2212HMC,CN0PF48H6418022L184L,$0,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI / DISPLAY,22in.,,,4180-357,0-0,11/10/2021,11/10/2021,12/31/1899,11/10/2021,CR,NEW,,,,,
DELL,U2212HMC,CN0PF48H641802651S7L,$0,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI / DISPLAY,22in.,,,4180-368,0-0,11/10/2021,11/10/2021,12/31/1899,11/10/2021,CR,NEW,,,,,
DELL,P2214HB,CN0KW14V742615BH8M6L,$0,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI / DISPLAY,22in.,,,4180-388,0-0,11/10/2021,11/10/2021,12/31/1899,11/10/2021,CR,NEW,,,,,
DELL,P2715QT,9S8YS62,$41,0,,,,,,,Unknown,,,,YES,,,,,Wide,HDMI / DISPLAY,27in.,,,4119-57,0-0,10/11/2021,11/15/2021,12/31/1899,11/15/2021,CR,NEW,,,,,
DELL,U2917W,3pll672,$68.75,0,,,,,,,Unknown,,,,YES,,,,,Wide,HDMI / DISPLAY,29in.,,,4119-91,0-0,10/11/2021,11/11/2021,12/31/1899,11/11/2021,CR,NEW,,,,,
DELL,U2212HMC,CN0D4FKG6418034K22HL,$10,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA / DVI / DISPLAY,22in.,,,4119-115,0-0,10/11/2021,11/12/2021,12/31/1899,11/12/2021,CR,NEW,,,,,
DELL,P2319H,dhzk5r2,$25,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA;HDMI / DISPLAY,23in.,,,4119-126,0-0,10/11/2021,11/11/2021,12/31/1899,11/11/2021,CR,NEW,,,,,
DELL,LATITUDE E5470 I5,BC3FQF2,$166,4B-,B-,,,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,128 GB SSD,8 GB, HD Graphics 520,"14.0""",GEN 6,1366 x 768,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,4284-55,0-0,12/1/2021,12/1/2021,12/31/1899,12/2/2021,JF,EV1,BOX-7,B,,,
DELL,OPTIPLEX 3050 SFF I5 GEN 7,fwww0m2,$101,4B,B,,,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,,16 GB, HD Graphics 630,"0.0""",GEN 7,1024 x 768,NO,N/A,2,,,,,in.,,,4284-59,0-0,12/1/2021,12/1/2021,12/31/1899,12/14/2021,CR,TP,w2-2-1-b,B,,,
GENERIC,BLK-SSD-M.2-256-NVME,,$32.5,0,,,,,,,Unknown,,,,YES,,,,,,,in.,,,4362-2,0-0,12/1/2021,12/20/2021,12/31/1899,12/20/2021,LT,NEW,,,,,
GENERIC,BLK-SODIM-8GB-PC4,,$25,0,,,,,,,Unknown,,,,YES,,,,,,,in.,,,4369-1,0-0,12/2/2021,12/31/1899,12/31/1899,12/2/2021,RP,NEW,CAGE-1,,,,
GENERIC,BLK-SODIM-4GB-PC4,,$13,0,,,,,,,Unknown,,,,YES,,,,,,,in.,,,4370-1,0-0,12/2/2021,12/31/1899,12/31/1899,12/2/2021,RP,NEW,CAGE-1,,,,
DELL,LATITUDE E6430 I7,6x8c4x1,$61.5,7B,B,,,Intel(R) Core(TM) i5-3380M CPU @ 2.90GHz,,8 GB, HD Graphics 4000+GF108GLM [NVS 5200M],"14.0""",GEN 3,1440 x 900,YES,4 (Poor Health 21-39%),2,,,,,in.,,,4370-6,0-0,12/22/2021,12/22/2021,12/31/1899,12/28/2021,JF,EV1,TEST BATTERY CART,B,,,
GENERIC,BLK-SODIM-8GB-PC4,,$25,0,,,,,,,Unknown,,,,YES,,,,,,,in.,,,4371-2,0-0,12/2/2021,1/3/2022,12/31/1899,1/3/2022,LT,NEW,CAGE-1,,,,
GENERIC,BLK-HDD-2.5-320,,$5,0,,,,,,,Unknown,,,,YES,,,,,,,in.,,,4380-2,0-0,12/3/2021,12/20/2021,12/31/1899,12/20/2021,LT,NEW,CAGE-1,,,,
GENERIC,BLK-SODIM-4GB-PC3L,,$13,0,,,,,,,Unknown,,,,YES,,,,,,,in.,,,4387-1,0-0,12/6/2021,12/31/1899,12/31/1899,12/6/2021,RP,NEW,CAGE-1,,,,
GENERIC,BLK-DIM-8GB-PC4,,$25,0,,,,,,,Unknown,,,,YES,,,,,,,in.,,,4389-2,0-0,12/6/2021,12/31/1899,12/31/1899,12/30/2021,RP,NEW,CAGE-1,,,,
DELL,U2917W,B5GQ072,$41.25,4B,,,,,,,Unknown,,,,YES,,,,MINOR SCUFFS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;MINOR SCRATCHES,,HDMI / DISPLAY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;MINI DISPLAY,29in.,B,,3738-71,0-0,9/9/2021,8/25/2021,12/31/1899,9/21/2021,CR,TP,W2-2-2-A,B,,,
DELL,U2917W,81WD472,$41.25,4B-,,,,,,,Unknown,,,,YES,,,,MINOR SCUFFS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;MINOR SCRATCHES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;SCREEN SCRATCH(ES),,HDMI / DISPLAY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;MINI DISPLAY,29in.,B,,3738-78,0-0,9/9/2021,8/25/2021,12/31/1899,11/1/2021,CR,TP,W2-1-2-A,B,,,
DELL,U2917W,F4K6272,$41.25,4B-,,,,,,,Unknown,,,,YES,,,,SCREEN SCRATCH(ES)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;MINOR SCRATCHES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;MINOR SCUFFS,,HDMI / DISPLAY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;MINI DISPLAY,29in.,B,,3738-81,0-0,9/9/2021,8/25/2021,12/31/1899,11/1/2021,CR,TP,W2-1-2-A,B,,,
HP,E223,cnc9191t43,$20,4B-,,,,,,,Unknown,,,,YES,,,,MINOR SCUFFS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;MINOR SCRATCHES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;SCREEN SCRATCH(ES),,HDMI / DISPLAY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;VGA,22in.,B,,3737-67,0-0,9/13/2021,8/25/2021,12/31/1899,11/1/2021,CR,TP,W2-1-2-A,B,,,
HP,E223,3cq847027f,$20,4B-,,,,,,,Unknown,,,,YES,,,,MINOR SCUFFS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;MINOR SCRATCHES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;SCREEN SCRATCH(ES),,HDMI / DISPLAY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;VGA,22in.,B,,3737-69,0-0,9/13/2021,8/25/2021,12/31/1899,11/1/2021,CR,TP,W2-1-2-A,B,,,
DELL,LATITUDE E5470 I5,GN1YRC2,$99.62,7C,C,,Major Cracks,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,256 GB SSD,8 GB,,"14.0""",GEN 6,1366 x 768,YES,3 (Fair Health 40-59%),2,,,,,in.,,,3600-18,0-0,7/12/2021,7/12/2021,12/31/1899,9/22/2021,NL,REPAIR,REPAIR,C,CRACKS(MAJOR); ,,
DELL,LATITUDE E5570 I5,BLPDTC2,$162.2875,4B,B,,Cracked Removable Bottom Pannel,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,,4 GB,,"15.6""",GEN 6,1366 x 768,NO,N/A,2,,,,,in.,,,3587-32,0-0,11/29/2021,7/13/2021,12/31/1899,12/17/2021,PT,COMPLETE,R2-1-3-A,B,,,
DELL,LATITUDE E5570 I5,7XD4RC2,$162.2875,4C,C,Light Spots In LCD,,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,,4 GB,,"15.6""",GEN 6,1366 x 768,YES,2 (Good Health 60-79%),2,,,,,in.,,,3587-41,0-0,10/8/2021,7/13/2021,12/31/1899,12/17/2021,PT,EV1,R2-1-8-B,C,LIGHT SPOTS IN LCD; ,,
DELL,LATITUDE 5480 I5 GEN 7,JGJ39H2,$175,4B-,B-,,,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz,128 GB SSD,16 GB, HD Graphics 620,"14.0""",GEN 7,1920 x 1080,YES,2 (Good Health 60-79%),2,,,,,in.,,,4045-5,0-0,10/14/2021,10/14/2021,12/31/1899,12/17/2021,PT,EV1,R2-1-8-A,B,,,
APPLE,MACBOOK PRO A1708 I5,FVFY40U0HV2D,$15,8B,,,,,,,Unknown,,,,YES,,,,,,,in.,,,4051-11,0-0,11/19/2021,9/30/2021,12/31/1899,12/8/2021,RP,SS,,D,,,
APPLE,MACBOOK PRO A1708 I5,C02V6DE7HV2D,$0,8B,,,,,,,Unknown,,,,YES,,,,,,,in.,,,4051-34,0-0,11/19/2021,9/30/2021,12/31/1899,11/19/2021,JF,SS,,D,,,
DELL,LATITUDE 5414 RUGGED I5,jrspsg2,$213,4B-,B-,,,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,500 GB HDD,8 GB, HD Graphics 520,"14.0""",GEN 6,1366 x 768,YES,3 (Fair Health  40-59%),2,,,,,in.,,,4022-14,0-0,10/1/2021,10/1/2021,12/31/1899,11/29/2021,DB,EV1,BOX-30,B,,,
DELL,P190S,cn0rnmh674445083086s,$5,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;DVI,19in.,,,4007-129,0-0,10/1/2021,10/1/2021,12/31/1899,10/1/2021,CR,NEW,,,,,
DELL,P190S,cn0rnmh6744450b8cq3l,$5,0,,,,,,,Unknown,,,,YES,,,,,Wide,VGA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;DVI,19in.,,,4007-149,0-0,10/1/2021,10/1/2021,12/31/1899,10/1/2021,CR,NEW,,,,,
