MAKE,MODEL,SERIAL,COST,CC,COSMETICGRADEC,COSMETICFLAWS,CGRADEDAMAGE,PROCESSOR,STORAGE,MEMORY,GRAPHICS,SCREENSIZEC,PROCGEN,RESOLUTIONC,BATTERYPRESENT,BATHEALTH,MEMSLOTS,PWPROTECTED,SCREENFLAWS,MONITORSHAPE,MONITORINPUTS,SCREENSIZEM,COSMETICGRADEM,RESOLUTIONM,POID,SOID,CCDATE,RECEIVEDATE,INVOICEDATE,LASTUPDATE,UPDATEBY,WAREHOUSE,LOCATION,WSGRADE,WSFAILS,MONITORFAILS,FUNCTIONALFAILS
LENOVO,THINKCENTRE E73 TWR I5,1S10AS002KUSPC00KC7A,$78.59,0B,B,Scuffs Minor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Scratches Minor,,,,,Unknown,,,,YES,,,,,,,in.,,,2430-3,0-0,11/10/2020,11/10/2020,12/31/1899,9/16/2021,CR,LEGACY,W2-1-1-A,B,,,
GENERIC,GENERIC DESKTOP,1TG2-0338,$88.59,0B,B,Scuffs Minor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Scratches Minor,,,,,Unknown,,,,YES,,,,,,,in.,,,2430-18,0-0,11/10/2020,11/10/2020,12/31/1899,9/16/2021,CR,LEGACY,W2-1-1-A,B,,,
DELL,1908FP,CN0FP182716187C3RBQX,$15,4C,,,,,,,Unknown,,,,YES,,,,MAJOR CRACK(S),Square,VGA / DVI,19in.,C,,2367-316,0-0,4/29/2021,11/4/2020,12/31/1899,11/1/2021,CR,EV1,w2-2-2-a,C,,,
DELL,LATITUDE E7470 I5,BQV9PF2,$202,7B,A,,,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,256 GB SSD,8 GB,,"14.0""",GEN 6,1920 x 1080,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,2432-251,0-0,9/17/2021,11/19/2020,12/31/1899,9/17/2021,JF,COMPLETE,Quarantine Provision,B,,,
DELL,LATITUDE E5570 I7,7nqmqf2,$87.928,4B,B,,,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,256 GB SSD,8 GB,,"15.6""",GEN 6,1366 x 768,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,3240-36,0-0,10/25/2021,4/14/2021,12/31/1899,12/17/2021,PT,EV1,R2-1-7-A,B,,,
DELL,XPS 13 (9343),6v5g362,$179.99,4B,B,Worn Keys                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Shiny Keys,,Intel(R) Core(TM) i5-5300U CPU @ 2.30GHz,256 GB SSD,8 GB,,"13.3""",GEN 5,1920 x 1080,YES,1 (Excellent Health 80-100%),2,,,,,in.,,,1823-29,0-0,5/4/2021,8/19/2020,12/31/1899,12/9/2021,CR,TP,R2-1-6-B,B,,,
HP,PROBOOK 455 G1,2ce41707zh,$7.5,4B,B,Scratches Minor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Shiny Keys                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Worn Keys,,,,,Unknown,,,,YES,1 (Excellent Health 80-100%),,,,,,in.,,,1898-12,0-0,8/20/2020,8/17/2020,12/31/1899,9/15/2021,LT,TP,R1-1-7-A,B,,,
LENOVO,THINKPAD T450 I5,1S20BUS1H700PC0AM7RW,$164.4,7C,B-,,Minor Dents,Intel(R) Core(TM) i5-5300U CPU @ 2.30GHz,NO  GB HDD,8 GB,,"14.0""",GEN 5,1366 x 768,NO,2 (Good Health 60-79%),2,,,,,in.,,,2966-5,0-0,3/8/2021,2/24/2021,12/31/1899,9/8/2021,LT,REPAIR,REPAIR,C,,,
HP,PROBOOK 640 G1 I5,MXL4110JPK,$93.5,8B,C,Shiny Keys                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Cracked LCD Bezel                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Crack(s) Major                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Scratches Minor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Scuffs Minor,,,,,Unknown,,,,YES,,,PASSWORD PROTECTED,,,,in.,,,2998-114,0-0,12/16/2021,3/3/2021,12/31/1899,9/14/2021,JF,eBay,BOX-1001,D,PASSWORD PROTECTED; ,,Will Not Boot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Password Protected
HP,PROBOOK 640 G1 I5,MXL41202XT,$96,5B,B,,,Intel(R) Core(TM) i5-4300M CPU @ 2.60GHz,320 GB HDD,4 GB,,"14.0""",GEN 4,1366 x 768,NO,N/A,2,,,,,in.,,,2998-174,0-0,3/29/2021,3/5/2021,12/31/1899,9/13/2021,JF,EV1,TEST BATTERY CART,B,,,Missing Battery
DELL,OPTIPLEX 9010,fyrl7y1,$202,4C,C,Scratches Minor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Crack(s) Minor,,,,,Unknown,,,,YES,,,,,,,in.,,,1069-416,0-0,9/18/2020,3/23/2020,12/31/1899,9/14/2021,KM,eBay,ebay,C,,,
